date,COD,avg_inflow,iso_label,iso_score,iso_anomaly,lstm_error,lstm_anomaly,both,only_if,only_lstm,neither
2016-10-26,1100.0,4.725,1,0.07656540164602543,0,0.012355378828385569,0,0,0,0,1
2016-10-27,660.0,4.783,1,0.06570709062091218,0,0.01184544764677048,0,0,0,0,1
2016-10-30,670.0,4.661,1,0.0777318785115963,0,0.011805657862471097,0,0,0,0,1
2016-11-01,720.0,10.241,1,0.05036530422019897,0,0.010410120939390049,0,0,0,0,1
2016-11-02,700.0,8.025,-1,-0.007136435805041863,1,0.012266597016329659,0,0,1,0,0
2016-11-03,690.0,5.822,1,0.06071257044510214,0,0.012641411353559806,0,0,0,0,1
2016-11-06,780.0,5.554,1,0.037097931544627316,0,0.013025998925494232,0,0,0,0,1
2016-11-07,630.0,4.709,1,0.047517938787375036,0,0.012271999428919298,0,0,0,0,1
2016-11-08,720.0,4.335,1,0.06607341203641148,0,0.011831410777484388,0,0,0,0,1
2016-11-09,770.0,3.993,1,0.08236983694430233,0,0.011329330264556303,0,0,0,0,1
2016-11-10,840.0,4.504,1,0.09272572881176133,0,0.011378886909023214,0,0,0,0,1
2016-11-12,845.96,3.778,1,0.1121888158182508,0,0.0088674310470768,0,0,0,0,1
2016-11-13,720.0,4.694,1,0.09945871263752254,0,0.008666152994885372,0,0,0,0,1
2016-11-14,530.0,3.965,1,0.04692170883308894,0,0.010871959286224519,0,0,0,0,1
2016-11-15,720.0,3.676,1,0.06129315048537942,0,0.012202026856586431,0,0,0,0,1
2016-11-16,660.0,3.602,1,0.059274768579837434,0,0.01174644168245916,0,0,0,0,1
2016-11-17,770.0,3.165,1,0.06873257155886581,0,0.011642633486023008,0,0,0,0,1
2016-11-20,460.0,3.407,1,0.034874523070686225,0,0.012693304836893857,0,0,0,0,1
2016-11-21,880.0,3.541,1,0.048301298432304574,0,0.014585189908947794,0,0,0,0,1
2016-11-22,910.0,3.572,1,0.06850192800395954,0,0.016657491595483936,0,0,0,0,1
2016-11-23,820.0,3.851,1,0.09002759877104183,0,0.015163115021314733,0,0,0,0,1
2016-11-24,1100.0,4.147,1,0.10692005079754746,0,0.013847356950803335,0,0,0,0,1
2016-11-27,730.0,3.479,1,0.05752402504241694,0,0.014535500953786253,0,0,0,0,1
2016-11-28,850.0,3.509,1,0.0947346287963115,0,0.014141368048428546,0,0,0,0,1
2016-11-29,860.0,4.204,1,0.10737149611251923,0,0.012679060799739099,0,0,0,0,1
2016-11-30,870.0,3.743,1,0.10587999657194874,0,0.011467509604855165,0,0,0,0,1
2016-12-01,930.0,4.103,1,0.09220150197304394,0,0.010520015298162008,0,0,0,0,1
2016-12-04,750.0,4.975,1,0.07282117646596042,0,0.009975328306227127,0,0,0,0,1
2016-12-05,1300.0,10.091,1,0.03195296300288353,0,0.011562801147451954,0,0,0,0,1
2016-12-06,1200.0,13.368,-1,-0.06165642677500538,1,0.015364975187183367,0,0,1,0,0
2016-12-07,1000.0,5.818,-1,-0.053264139628566465,1,0.01870116864303853,0,0,1,0,0
2016-12-08,680.0,4.608,1,0.025465771667929016,0,0.02009500862099789,0,0,0,0,1
2016-12-11,1300.0,5.64,1,0.039594347073871994,0,0.019707717609499357,0,0,0,0,1
2016-12-12,950.0,5.124,-1,-0.08392965598545354,1,0.0235872936544656,1,1,0,0,0
2016-12-13,900.0,3.998,1,0.03226847644647696,0,0.025302151836680057,1,0,0,1,0
2016-12-14,940.0,4.042,1,0.07915510393764885,0,0.024062387429910237,1,0,0,1,0
2016-12-15,940.0,4.638,1,0.09365224480876116,0,0.01988118406352966,0,0,0,0,1
2016-12-18,760.0,4.371,1,0.09002781338856225,0,0.01643984976124614,0,0,0,0,1
2016-12-19,840.0,4.019,1,0.0569418566042163,0,0.017059494099802695,0,0,0,0,1
2016-12-20,840.0,4.348,1,0.10820188596730046,0,0.015584481689514944,0,0,0,0,1
2016-12-21,900.0,4.718,1,0.10847975432341622,0,0.010744834477676461,0,0,0,0,1
2016-12-22,950.0,4.405,1,0.08382562660140846,0,0.00935823269645697,0,0,0,0,1
2016-12-23,845.96,4.073,1,0.0842535297761755,0,0.008470523015612996,0,0,0,0,1
2016-12-26,845.96,4.51,1,0.03955295163349526,0,0.010314029277567352,0,0,0,0,1
2016-12-27,820.0,3.949,1,0.027398058370606826,0,0.012312356727380317,0,0,0,0,1
2016-12-28,910.0,3.775,1,0.011696055544650474,0,0.013125396450538115,0,0,0,0,1
2016-12-29,740.0,4.063,1,0.007992210360687702,0,0.016068480986275006,0,0,0,0,1
2016-12-30,845.96,3.966,1,0.07656355063055054,0,0.015698808920689717,0,0,0,0,1
2017-01-02,640.0,4.088,1,0.08183263670909152,0,0.01667379199766056,0,0,0,0,1
2017-01-03,790.0,4.002,1,0.05315544730138999,0,0.01838696642190693,0,0,0,0,1
2017-01-04,700.0,13.246,-1,-0.02176886032612302,1,0.020259461773854737,0,0,1,0,0
2017-01-05,820.0,18.968,-1,-0.05339532392242674,1,0.02601584908623276,1,1,0,0,0
2017-01-08,740.0,13.169,-1,-0.0638350908584292,1,0.025801780323572283,1,1,0,0,0
2017-01-09,770.0,9.306,-1,-0.06571853979246167,1,0.025549967950579393,1,1,0,0,0
2017-01-10,960.0,6.691,-1,-0.025531282571361835,1,0.026388948919990662,1,1,0,0,0
2017-01-11,830.0,5.659,-1,-0.042045237803856494,1,0.029944855572799797,1,1,0,0,0
2017-01-12,920.0,6.369,-1,-0.03891083115476357,1,0.033144468742000284,1,1,0,0,0
